Çağrı No;Açılış Tarihi;Açan Birim;Birim/Şube;Servis;Ekran;Durum;2. Seviye Kullanıcı Destek Çözen/Yönlendiren;Atanan TM;Çözüm Kodu;Çözüm Tarihi
140670648;25.09.2025 17:46;Kobi ve Perakende Krediler Müdürlüğü 1;Birim;Kredi Tahsis Yönetimi Servisi;Manuel Limit Conversion;Çözüldü/Kapalı;Burak;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;25.09.2025 18:05
140671489;25.09.2025 17:54;Kocaeli Bölge Krediler Müdürlüğü;Birim;Ticari Krediler Servisi;Ticari Kredi Kullandırım Talep Giriş;Çözüldü/Kapalı;Burak;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;26.09.2025 14:00
140672973;25.09.2025 17:55;Çınar Denizli Şubesi;Şube;Kredi İzleme Servisi;TKD Aksiyon Detay Görüntüle;Çözüldü/Kapalı;Burak;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;26.09.2025 13:52
140674346;25.09.2025 17:53;Çevreyolu/Alanya Şubesi;Şube;Kredi Teminat Yönetimi Servisi;TKD Teminat Listeleme;Çözüldü/Kapalı;Burak;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;26.09.2025 09:11
140677732;25.09.2025 18:07;Van Şubesi;Şube;Skorlama Servisi;Skor Talep Girişi;Çözüldü/Kapalı;Burak;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;26.09.2025 12:15
140683020;25.09.2025 18:26;Bodrum Çarşı Muğla Şubesi;Şube;Kredi Teminat Yönetimi Servisi;TKD Teminat Kalite Listesi;Çözüldü/Kapalı;Burak;2. Seviye Kullanıcı Destek;İş Birimleri ile İlgili/İş Kuralı;29.09.2025 11:28
140683022;25.09.2025 18:28;Kaletepe/Kırıkkale Şubesi;Şube;Skorlama Servisi;Skor Talep Girişi;Çözüldü/Kapalı;Burak;2. Seviye Kullanıcı Destek;Program/Yazılım Güncellemesi ile Çözüldü;26.09.2025 14:01
140895989;26.09.2025 08:52;Van Şubesi;Şube;Yatırım İşlemleri Servisi;Yatırım Hesabı Aç;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;26.09.2025 16:23
140899664;26.09.2025 09:06;Kartlı Sistemler Müşteri Hizmetleri Müdürlüğü;Birim;Kredi Kartları Yönetimi Servisi;Kredi Kartı borç yapılandırma ekranı;Çözüldü/Kapalı;Tuğba;UÖS.Kart Başvuru ve Limit Yönetimi;Veri Güncelleme ile Çözüldü;26.09.2025 17:22
140900807;26.09.2025 09:11;Fethiye Şubesi;Şube;Kredi Teminat Yönetimi Servisi;TKD Şube Teminat Talebi;Çözüldü/Kapalı;Tuğba;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;26.09.2025 10:06
140900817;26.09.2025 09:11;Kozyatağı Kurumsal Şubesi;Birim;Para Transferleri Servisi;Toplu Dekont Yazdır/Gönder;Çözüldü/Kapalı;Akif;2. Seviye Kullanıcı Destek;Uygulama Geliştirme/Yazılım Kaynaklı;26.09.2025 15:43
140900827;26.09.2025 09:14;Müşteri Araştırmaları Müdürlüğü;Birim;Doküman Yönetimi Servisi;;Aktarıldı;İbrahim;UPY.CRM ve Bildirim Yönetimi;;
140904332;26.09.2025 09:16;Van Şubesi;Şube;Skorlama Servisi;Skor Talep Girişi;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;26.09.2025 13:41
