Çağrı No;Açılış Tarihi;Açan Birim;Birim/Şube;Servis;Ekran;Durum;2. Seviye Kullanıcı Destek Çözen/Yönlendiren;Atanan TM;Çözüm Kodu;Çözüm Tarihi
132586068;02.09.2025 11:08;Kazlıçeşme Şubesi;Şube;Ticari Krediler Servisi;TKD Kullandırım Talebi Girişi;Çözüldü/Kapalı;Serkan;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 12:27
132589809;02.09.2025 11:18;Atatürk Bulvarı - Eskişehir Şubesi;Şube;Ticari Krediler Servisi;Kredi Hesap Listesi;Çözüldü/Kapalı;Nursema;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 14:16
132590012;02.09.2025 11:12;Atm Müdürlüğü;Birim;ATM Servisi;ATM Bilgilerini Listele;Çözüldü/Kapalı;Burak;UAC.ATM;İş Birimleri ile İlgili/İş Kuralı;03.09.2025 14:17
132590138;02.09.2025 11:13;Dijital Bankacılık Müdürlüğü;Birim;Mobil Bankacılık Servisi;;Çözüldü/Kapalı;Yavuz;UAC.Çağrı Merkezi;Konfigürasyon Kaynaklı;03.09.2025 15:04
132590362;02.09.2025 11:13;Muş Şubesi;Şube;Kredi İzleme Servisi;Aksiyon Detay Görüntüle;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 16:22
132594706;02.09.2025 11:21;Antakya Şubesi;Şube;Ticari Krediler Servisi;TKD Kullandırım Talebi Girişi;Çözüldü/Kapalı;Akif;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 11:47
132595314;02.09.2025 11:26;Tahsilat ve Ödeme Operasyonları Müdürlüğü;Birim;Uygulama Altyapı Servisi;İş Akışı;Çözüldü/Kapalı;Emre;UMİ.Kurumsal Kaynak Planlaması;İş Birimleri ile İlgili/İş Kuralı;02.09.2025 17:04
132595321;02.09.2025 11:27;Toroslar Mersin Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Başvuru Yap;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;İş Birimleri ile İlgili/İş Kuralı;02.09.2025 17:45
132597912;02.09.2025 11:27;Adliye Sarayı Şubesi;Şube;Mevduat Servisi;Vadeli Hesap Aç;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 11:38
132598654;02.09.2025 11:29;Karagümrük İstanbul Şubesi;Şube;Dış İşlemler Servisi;Masraf Tahsil Et;Çözüldü/Kapalı;Akif;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 11:59
132598960;02.09.2025 11:29;Sincan Şubesi;Şube;Kredi Teminat Yönetimi Servisi;TKD Şube Teminat Talebi;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 17:42
132600308;02.09.2025 11:35;Dijital Bankacılık Müdürlüğü;Birim;Mobil Bankacılık Servisi;;Aktarıldı;Emre;UDK.MobilUygulamalar2;;
132601812;02.09.2025 11:33;Zonguldak Bölge Krediler Müdürlüğü;Birim;Kredi Tahsis Yönetimi Servisi;Plato Limit Risk Eşleştir;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 11:47
132602330;02.09.2025 11:39;Meşrutiyet Şubesi;Şube;Ticari Krediler Servisi;Ticari Krediler Hata Log Ekranı;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 12:09
132603875;02.09.2025 11:37;Vadistanbul Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Güncelle;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Geçici/Alternatif Çözüm;02.09.2025 17:58
132605825;02.09.2025 11:44;Kadıköy İstanbul Şubesi;Şube;Kur ve Döviz Yönetimi Servisi;TCMB Kurları ile Yapılan Özel Nitelikli İşlemler;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 13:56
132606916;02.09.2025 11:46;Evren Sanayi Sitesi/Şanlıurfa Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Hazır Limit Kısa Başvuru;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;İş Birimleri ile İlgili/İş Kuralı;02.09.2025 12:20
132607105;02.09.2025 11:44;Artuklu/Mardin Şubesi;Şube;Kredi Teminat Yönetimi Servisi;TKD Şube Teminat Talebi;Çözüldü/Kapalı;Burak;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;03.09.2025 17:23
132607562;02.09.2025 11:46;Sinop Şubesi;Şube;Kredi Teminat Yönetimi Servisi;TKD Şube Teminat Talebi;Çözüldü/Kapalı;Serkan;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 14:01
132610926;02.09.2025 11:57;Çallı Antalya Şubesi;Şube;Bireysel Krediler Servisi;Bireysel Kredi Başvuru ve Kullandırım;Çözüldü/Kapalı;Emre;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;03.09.2025 11:55
132614090;02.09.2025 11:58;Tekirdağ Şubesi;Şube;CRM Servisi;SKY KOBİ Müşterileri Listesi;Çözüldü/Kapalı;Tuğba;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 13:41
132614522;02.09.2025 11:58;Çatalca Şubesi;Şube;Kredi Teminat Yönetimi Servisi;TKD Teminat Kalite Listesi;Çözüldü/Kapalı;Serkan;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 14:09
132614566;02.09.2025 11:57;Zonguldak Bölge Krediler Müdürlüğü;Birim;Kredi Tahsis Yönetimi Servisi;Plato Limit Risk Eşleştir;Çözüldü/Kapalı;Emre;UTK.Limit Risk Yönetimi;Geçici/Alternatif Çözüm;03.09.2025 16:13
132614779;02.09.2025 11:59;İzmir Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Başvuru Yap;Çözüldü/Kapalı;Akif;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 12:36
132614864;02.09.2025 11:58;Antalya Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Kullandırım;Çözüldü/Kapalı;Emre;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;03.09.2025 12:06
132618730;02.09.2025 12:18;Gölcük Şubesi;Şube;Ticari Krediler Servisi;Teminat Mektubu Kullandırım Giriş ;Çözüldü/Kapalı;Akif;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 13:35
132619361;02.09.2025 12:10;Fatih Bölge Krediler Müdürlüğü;Birim;Kredi Tahsis Yönetimi Servisi;Kredi Başvuruları Listele;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;İş Akışı İptal/Kilit Kaldır;02.09.2025 13:45
132619828;02.09.2025 12:16;Trabzon Şubesi;Şube;Banka Sigortacılığı Servisi;Referans Bazlı Ürün Sigorta Sat;Çözüldü/Kapalı;Nursema;2. Seviye Kullanıcı Destek;Genel Sorun/EBİS Kaynaklı;02.09.2025 15:56
132621341;02.09.2025 12:14;Afyon Organize Sanayi Şubesi;Şube;Banka Sigortacılığı Servisi;Referans Bazlı Ürün Sigorta Sat;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;Genel Sorun/EBİS Kaynaklı;02.09.2025 15:54
132621850;02.09.2025 12:16;Meram Konya Şubesi;Şube;Ticari Krediler Servisi;TKD  Güncelleme Talebi Girişi;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 16:56
132622169;02.09.2025 12:17;Sanayi Mahallesi/İzmit Şubesi;Şube;Banka Sigortacılığı Servisi;Referans Bazlı Ürün Sigorta Sat;Çözüldü/Kapalı;Burak;2. Seviye Kullanıcı Destek;Genel Sorun/EBİS Kaynaklı;02.09.2025 15:30
132624169;02.09.2025 12:22;Bulvar Esenyurt/İstanbul Şubesi;Şube;Ticari Krediler Servisi;TKD Kullandırım Talebi Girişi;Çözüldü/Kapalı;Tuğba;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 15:39
132624461;02.09.2025 12:22;Giresun Şubesi;Şube;Banka Sigortacılığı Servisi;Referans Bazlı Ürün Sigorta Sat;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Genel Sorun/EBİS Kaynaklı;02.09.2025 16:05
132624496;02.09.2025 12:25;Siverek/Şanlıurfa Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Yeniden Yapılandırma;Çözüldü/Kapalı;Serkan;2. Seviye Kullanıcı Destek;Program/Yazılım Güncellemesi ile Çözüldü;02.09.2025 14:03
132626275;02.09.2025 12:27;Seyhan/Adana Şubesi;Şube;Kredi Teminat Yönetimi Servisi;TKD Şube Teminat Talebi;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 14:23
132626510;02.09.2025 12:26;Beşiktaş Çarşı İstanbul Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Başvuru Yap;Çözüldü/Kapalı;Burak;2. Seviye Kullanıcı Destek;Program/Yazılım Güncellemesi ile Çözüldü;02.09.2025 15:13
132626669;02.09.2025 12:27;Vadistanbul Şubesi;Şube;CRM Servisi;SKY KOBİ Müşterileri Listesi;Çözüldü/Kapalı;Akif;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 14:02
132626691;02.09.2025 12:28;Yenidoğan İstanbul Şubesi;Şube;Uygulama Altyapı Servisi;İş Akışı;Çözüldü/Kapalı;Nursema;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 14:31
132627928;02.09.2025 12:31;Kınıklı Denizli Şubesi;Şube;Kredi İzleme Servisi;Aksiyon Detay Görüntüle;Çözüldü/Kapalı;Tuğba;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 12:38
132628556;02.09.2025 12:30;Karamürsel Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Başvuru Yap;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 18:05
132630577;02.09.2025 12:43;Uncalı Antalya Şubesi;Şube;Bireysel Krediler Servisi;Bireysel Kredi Başvuru ve Kullandırım;Çözüldü/Kapalı;Akif;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;03.09.2025 13:42
132631200;02.09.2025 12:38;Giresun Şubesi;Şube;CRM Servisi;Ticari İşlem Ücreti İade Giriş;Çözüldü/Kapalı;Emre;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;03.09.2025 12:18
132638597;02.09.2025 13:35;Yeni Sanayi Kayseri Şubesi;Şube;Kredi Teminat Yönetimi Servisi;Araç Muvafakat Ver;Çözüldü/Kapalı;Serkan;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 15:01
132640354;02.09.2025 13:38;Şehremini Şubesi;Şube;Kur ve Döviz Yönetimi Servisi;TCMB Kurları ile Yapılan Özel Nitelikli İşlemler;Çözüldü/Kapalı;Nursema;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 14:32
132640512;02.09.2025 13:41;Bireysel Bankacılık Pazarlama Müdürlüğü;Birim;CRM Servisi;Bireysel Masraf iade Giriş;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;Program/Yazılım Güncellemesi ile Çözüldü;02.09.2025 13:55
132642055;02.09.2025 13:43;Selimpaşa Silivri İstanbul Şubesi;Şube;Kredi Kartları Yönetimi Servisi;Ticari Kredi Kartı Başvurusu Yap(TFGK);Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 14:11
132642061;02.09.2025 13:45;Toptancılar Sitesi Mersin Şubesi;Şube;Ticari Krediler Servisi;Serbest Masraf Tahsilat İptali;Çözüldü/Kapalı;Akif;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 13:57
132642911;02.09.2025 13:45;Denizli Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Başvuru Yap;Çözüldü/Kapalı;Tuğba;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 16:33
132643049;02.09.2025 13:47;Sahil İskenderun Şubesi;Şube;Bireysel Krediler Servisi;TKD Bireysel Yapılandırma Kredisi Kullandırım;Çözüldü/Kapalı;Burak;2. Seviye Kullanıcı Destek;İş Birimleri ile İlgili/İş Kuralı;02.09.2025 16:34
132644213;02.09.2025 13:48;Karagümrük İstanbul Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Başvuru Yap;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 14:59
132644316;02.09.2025 13:49;Milas Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;TKD Bireysel Yapılandırma Kredisi Kullandırım;Çözüldü/Kapalı;Akif;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 14:07
132644956;02.09.2025 13:50;Lüleburgaz Cadde Şubesi;Şube;Ticari Krediler Servisi;TKD Kullandırım Talebi Girişi;Çözüldü/Kapalı;Nursema;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 17:41
132644973;02.09.2025 13:50;Aspendos Bulvarı /Antalya Şubesi;Şube;CRM Servisi;Findeks Üyelik Başvurusu Yap;Çözüldü/Kapalı;Tuğba;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 15:03
132645005;02.09.2025 13:52;Keşan Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Plato Limit Risk Eşleştir;Çözüldü/Kapalı;Serkan;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 14:35
132645709;02.09.2025 13:53;Kazım Karabekir/Ankara Şubesi;Şube;Mevduat Servisi;Bloke İptal Et;Çözüldü/Kapalı;Akif;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 14:18
132646060;02.09.2025 13:52;Tahsilat ve Ödeme Operasyonları Müdürlüğü;Birim;Kurumsal Kaynak Planlama Servisi;E-Fatura İletim Raporu;Çözüldü/Kapalı;Nursema;UMİ.Kurumsal Kaynak Planlaması;İş Birimleri ile İlgili/İş Kuralı;05.09.2025 09:11
132646114;02.09.2025 13:56;Dijital Bankacılık Müdürlüğü;Birim;Mobil Bankacılık Servisi;;Çözüldü/Kapalı;Tuğba;UDK.MobilUygulamalar2;İş Birimleri ile İlgili/İş Kuralı;11.09.2025 11:56
132647117;02.09.2025 13:54;Bulvar Malatya Şubesi;Şube;Masaüstü Cihazları ve Yazılımları Destek Servisi;;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Geçici/Alternatif Çözüm;02.09.2025 14:12
132653422;02.09.2025 14:09;Çine Aydın Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Hazır Limit Kısa Başvuru;Çözüldü/Kapalı;Tuğba;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 15:17
132654268;02.09.2025 14:06;Beşevler Ankara Şubesi;Şube;Uygulama Altyapı Servisi;İş Akışı;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 14:21
132654988;02.09.2025 14:12;İmsan İkitelli İstanbul Şubesi;Şube;Banka Sigortacılığı Servisi;Referans Bazlı Ürün Sigorta Sat;Çözüldü/Kapalı;Tuğba;2. Seviye Kullanıcı Destek;Genel Sorun/EBİS Kaynaklı;02.09.2025 16:32
132656333;02.09.2025 14:12;Afşin Şubesi;Şube;Kurum Ödemeleri Servisi;Vinov Ödeme Kaydı Oluştur;Çözüldü/Kapalı;Serkan;2. Seviye Kullanıcı Destek;İş Birimleri ile İlgili/İş Kuralı;02.09.2025 14:39
132656378;02.09.2025 14:12;Bursa Küçük Sanayi Şubesi;Şube;Mevduat Servisi;Bloke İptal Et;Çözüldü/Kapalı;Nursema;2. Seviye Kullanıcı Destek;Program/Yazılım Güncellemesi ile Çözüldü;02.09.2025 14:34
132656505;02.09.2025 14:11;Ataşehir Şubesi;Şube;Ticari Krediler Servisi;TKD Kullandırım Talebi Girişi;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 14:36
132657655;02.09.2025 14:14;Kredi Teklif ve Tahsis Süreçleri Müdürlüğü;Birim;Kredi Tahsis Yönetimi Servisi;Eşleşen Ürün Teminat Şart Tanımı;Çözüldü/Kapalı;İbrahim;UTK.Tahsis;Uygulama Geliştirme/Yazılım Kaynaklı;15.09.2025 11:35
132658269;02.09.2025 14:15;Kartlı Sistemler Müşteri Hizmetleri Müdürlüğü;Birim;Kredi Kartları Yönetimi Servisi;Kredi Kartı Detay Listesi;Çözüldü/Kapalı;Tuğba;UÖS.Kart Başvuru ve Limit Yönetimi;Veri Güncelleme ile Çözüldü;09.09.2025 10:06
132658582;02.09.2025 14:14;Şirinyalı/Antalya Şubesi;Şube;Ticari Krediler Servisi;TKD Kullandırım Talebi Girişi;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Genel Sorun/EBİS Kaynaklı;03.09.2025 09:19
132658900;02.09.2025 14:17;Karamürsel Şubesi;Şube;Banka Sigortacılığı Servisi;Referans Bazlı Ürün Sigorta Sat;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Genel Sorun/EBİS Kaynaklı;02.09.2025 16:32
132659873;02.09.2025 14:17;Adana/Baraj Yolu Şubesi;Şube;Kredi Teminat Yönetimi Servisi;TKD Şube Teminat Talebi;Çözüldü/Kapalı;Akif;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 14:49
132661308;02.09.2025 14:19;Merkezefendi İstanbul Şubesi;Şube;Kredi Teminat Yönetimi Servisi;TKD Şube Teminat Talebi;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;03.09.2025 09:15
132662217;02.09.2025 14:27;Hastaneler Şubesi;Şube;CRM Servisi;SKY KOBİ Müşterileri Listesi;Çözüldü/Kapalı;Nursema;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 16:37
132662918;02.09.2025 14:27;Çine Aydın Şubesi;Şube;Ticari Krediler Servisi;Ticari Kredi Kullandırım;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Genel Sorun/EBİS Kaynaklı;03.09.2025 09:23
132663723;02.09.2025 14:27;Yalova Şubesi;Şube;Ticari Krediler Servisi;TKD Kullandırım Talebi Girişi;Çözüldü/Kapalı;Serkan;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;03.09.2025 16:03
132667163;02.09.2025 14:33;Kayseri Ticari Şubesi;Şube;Banka Sigortacılığı Servisi;Referans Bazlı Ürün Sigorta Sat;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Genel Sorun/EBİS Kaynaklı;02.09.2025 15:51
132667378;02.09.2025 14:34;Altındağ Bölge Krediler Müdürlüğü;Birim;Kredi Tahsis Yönetimi Servisi;Firma Kredi Teklif İşlemleri;Çözüldü/Kapalı;İbrahim;UTK.Tahsis;Geçici/Alternatif Çözüm;09.09.2025 12:01
132669535;02.09.2025 14:33;Menderes Şubesi;Şube;Kredi Teminat Yönetimi Servisi;Teminat Giriş/Çıkış/Güncelle ;Çözüldü/Kapalı;Tuğba;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 15:01
132671946;02.09.2025 14:39;Balıkesir Bölge Krediler Müdürlüğü;Birim;Uygulama Altyapı Servisi;İş Akışı;Çözüldü/Kapalı;Burak;2. Seviye Kullanıcı Destek;İş Birimleri ile İlgili/İş Kuralı;03.09.2025 13:42
132672254;02.09.2025 14:40;Bursa Ticari Şubesi;Şube;Kurumsal Kaynak Planlama Servisi;Harcırah Gir;Çözüldü/Kapalı;Serkan;2. Seviye Kullanıcı Destek;İş Birimleri ile İlgili/İş Kuralı;02.09.2025 15:17
132677310;02.09.2025 14:43;Pozcu Mersin Şubesi;Şube;Uygulama Altyapı Servisi;İş Akışı;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 14:55
132679345;02.09.2025 14:46;Yenimahalle Bölge Krediler Müdürlüğü;Birim;Kredi Tahsis Yönetimi Servisi;Kredi Başvuruları Listeleme;Çözüldü/Kapalı;Serkan;UTK.Tahsis;Uygulama Geliştirme/Yazılım Kaynaklı;12.09.2025 09:40
132680411;02.09.2025 14:49;Mezitli Mersin Şubesi;Şube;Ticari Krediler Servisi;Ticari Kredi Tahsilatı;Aktarıldı;İbrahim;UİT.Kredi İzleme;;
132682960;02.09.2025 14:52;Sancaktepe İstanbul Şubesi;Şube;Kredi Teminat Yönetimi Servisi;Elektronik İpotek Tesis Başvurusu Yap ;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 18:00
132682962;02.09.2025 14:52;Ankara Bölge Kredi Yapılandırma ve Risk Tasfiye Müdürlüğü;Birim;Takip Servisi;Genel Dosya Raporu;Çözüldü/Kapalı;Tuğba;UİT.Yasal Takip;İş Birimleri ile İlgili/İş Kuralı;02.09.2025 16:14
132683023;02.09.2025 14:59;Osmancık Çorum Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Perakende Finansalsız Başvuru Listesi;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;İş Birimleri ile İlgili/İş Kuralı;02.09.2025 16:05
132686814;02.09.2025 15:00;Edirne Şubesi;Şube;Kredi Kartları Yönetimi Servisi;Ticari Kredi Kartı Başvurusu Yap(TFGK);Çözüldü/Kapalı;Burak;2. Seviye Kullanıcı Destek;Geçici/Alternatif Çözüm;02.09.2025 15:38
132687184;02.09.2025 14:57;Malatya Şubesi;Şube;CRM Servisi;SKY KOBİ Müşteri Yükle;Çözüldü/Kapalı;Akif;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 17:37
132691908;02.09.2025 15:06;Tüccarbaşı Şubesi;Şube;Kredi Kartları Yönetimi Servisi;Kredi Kartı Kısa Başvuru Yap;Çözüldü/Kapalı;Serkan;2. Seviye Kullanıcı Destek;İş Birimleri ile İlgili/İş Kuralı;02.09.2025 15:26
132693964;02.09.2025 15:10;Alsancak/İzmir Şubesi;Şube;Kredi Kartları Yönetimi Servisi;Ticari Kredi Kartı Limit Değişikliği Yap(TFGK);Çözüldü/Kapalı;Akif;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 15:50
132696027;02.09.2025 15:16;Kocaeli Körfez Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Başvuru Yap;Çözüldü/Kapalı;Nursema;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 16:27
132696426;02.09.2025 15:16;Altınoluk Şubesi;Şube;Uygulama Altyapı Servisi;İş Akışı;Çözüldü/Kapalı;Nursema;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 16:59
132696939;02.09.2025 15:17;İbrahimli Gaziantep Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Başvuru Yap;Çözüldü/Kapalı;Tuğba;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 16:36
132699297;02.09.2025 15:27;Kars Şubesi;Şube;Ticari Krediler Servisi;TKD Kullandırım Talebi Girişi;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 15:44
132700684;02.09.2025 15:27;Dinar Şubesi;Şube;Banka Sigortacılığı Servisi;Referans Bazlı Ürün Sigorta Sat;Çözüldü/Kapalı;Serkan;2. Seviye Kullanıcı Destek;Genel Sorun/EBİS Kaynaklı;02.09.2025 15:56
132702607;02.09.2025 15:29;Mali Operasyon Müdürlüğü;Birim;Kurumsal Kaynak Planlama Servisi;Gayrimenkul Tanımı;Çözüldü/Kapalı;Serkan;UMİ.Kurumsal Kaynak Planlaması;İş Birimleri ile İlgili/İş Kuralı;02.09.2025 17:32
132702611;02.09.2025 15:29;Ege 1. Bölge Krediler Müdürlüğü;Birim;Kredi Tahsis Yönetimi Servisi;Plato Limit Risk Eşleştir;Çözüldü/Kapalı;Tuğba;UTK.Limit Risk Yönetimi;Kullanıcı Hatası/Bilgi Eksikliği;03.09.2025 13:42
132702712;02.09.2025 15:34;Malatya Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Başvuru;Çözüldü/Kapalı;Burak;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 15:42
132704617;02.09.2025 15:39;İstanbul Şubesi;Şube;Ticari Krediler Servisi;TKD Kullandırım Talebi Girişi;Çözüldü/Kapalı;Burak;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 18:37
132704816;02.09.2025 15:45;Denizli Şubesi;Şube;Kurum Ödemeleri Servisi;Vinov Müşteri Listesi;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;Program/Yazılım Güncellemesi ile Çözüldü;02.09.2025 16:26
132704820;02.09.2025 15:45;E 5 İzmit Şubesi;Şube;Kredi Teminat Yönetimi Servisi;TKD Şube Teminat Talebi;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Geçici/Alternatif Çözüm;02.09.2025 17:00
132705894;02.09.2025 15:40;Feriköy İstanbul Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Başvuru Yap;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 15:56
132706200;02.09.2025 15:44;Manisa Şubesi;Şube;Kredi İzleme Servisi;BEUS İzleme Aktivite Listesi;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;Program/Yazılım Güncellemesi ile Çözüldü;02.09.2025 16:20
132706943;02.09.2025 15:43;Adana Şubesi;Şube;Ticari Krediler Servisi;TKD Kullandırım Talebi Girişi;Çözüldü/Kapalı;Burak;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 16:21
